Restaurant,Menu Header,Menu Item,Rate,What people love here
12 e,Veg Starters,Paneer Tikka,190,"Butter Chicken, Chicken Biryani"
12 e,Veg Starters,Paneer Peshawari Tikka,200,"Butter Chicken, Chicken Biryani"
12 e,Veg Starters,Paneer Kalimirch Tikka,190,"Butter Chicken, Chicken Biryani"
12 e,Veg Starters,Paneer Malai Tikka,200,"Butter Chicken, Chicken Biryani"
12 e,Veg Starters,Cheese Chilly Onion Kabah,160,"Butter Chicken, Chicken Biryani"
12 e,Veg Starters,Mushroom Tikka,160,"Butter Chicken, Chicken Biryani"
12 e,Veg Starters,Subz Sholai Kabab,160,"Butter Chicken, Chicken Biryani"
12 e,Non Veg Starters,Murg Tikka,240,"Butter Chicken, Chicken Biryani"
12 e,Non Veg Starters,Murg Malai Tikka,250,"Butter Chicken, Chicken Biryani"
12 e,Non Veg Starters,Murg Pahadi Tikka,240,"Butter Chicken, Chicken Biryani"
12 e,Non Veg Starters,Murg Afgani Tikka,250,"Butter Chicken, Chicken Biryani"
12 e,Non Veg Starters,Fish Aiurilsari Tikka,260,"Butter Chicken, Chicken Biryani"
12 e,Non Veg Starters,Fish Tikka/ Kalimirch/Garlic/ Malai,260,"Butter Chicken, Chicken Biryani"
12 e,Non Veg Starters,Fish Finger,260,"Butter Chicken, Chicken Biryani"
12 e,Non Veg Starters,Tandoori Chicken Half,160,"Butter Chicken, Chicken Biryani"
12 e,Non Veg Starters,Bhuna Mutton,260,"Butter Chicken, Chicken Biryani"
12 e,Non Veg Starters,Bhuna Chicken,240,"Butter Chicken, Chicken Biryani"
12 e,Indian Breads,Plain Tandori Roti ,15,"Butter Chicken, Chicken Biryani"
12 e,Indian Breads,Butter TandoriRoti ,20,"Butter Chicken, Chicken Biryani"
12 e,Indian Breads,Plain Naan ,25,"Butter Chicken, Chicken Biryani"
12 e,Indian Breads,Butter Naan ,30,"Butter Chicken, Chicken Biryani"
12 e,Indian Breads,Lachha Paiatha ,30,"Butter Chicken, Chicken Biryani"
12 e,Indian Breads,Plain Garlic Naan,35,"Butter Chicken, Chicken Biryani"
12 e,Indian Breads, Butter Garlic Naan ,40,"Butter Chicken, Chicken Biryani"
12 e,Indian Breads,Cheese Stuff Naan,60,"Butter Chicken, Chicken Biryani"
12 e,Main Course - Veg,Dal fry,120,"Butter Chicken, Chicken Biryani"
12 e,Main Course - Veg,Dal Tad lea,140,"Butter Chicken, Chicken Biryani"
